feature,importance,importance_pct,cumulative_pct
Base_Model_D3,16,0.11,74.43
Secondary_Description_7,16,0.11,74.54
Product_Class_Description_Type_D_-_190_0_to_260_0_Horsepower,16,0.11,74.65
Hydraulics_Unknown,16,0.11,74.76
Secondary_Description_D,16,0.11,74.87
Usage_Band_Unknown,16,0.11,74.98
Model_Description_450,16,0.11,75.09
Screen_Size_None_or_Unspecified,16,0.11,75.2
Coupler_Unknown,16,0.11,75.31
Base_Model_930,16,0.11,75.42
Model_Description_PC300LC3,15,0.1,75.52
Base_Model_WA500,15,0.1,75.62
Base_Model_WA380,15,0.1,75.72
Base_Model_EX700,15,0.1,75.82
Model_Description_936,15,0.1,75.92
Screen_Size_1_None_or_Unspecified,15,0.1,76.02
Product_Class_Description_Type_D_-_105_0_to_130_0_Horsepower,15,0.1,76.12
Model_Descriptor_3,15,0.1,76.22
Model_Description_205LC,15,0.1,76.32
Model_Description_463,15,0.1,76.42
Base_Model_210,15,0.1,76.52
Secondary_Description_URG,15,0.1,76.62
Model_Description_992C,15,0.1,76.72
Model_Description_G3WD,15,0.1,76.82
Base_Model_430,15,0.1,76.92
Secondary_Description_NX,14,0.09,77.01
Product_Group_TTT,14,0.09,77.1
Model_Description_245,14,0.09,77.19
Blade_Type_Straight,14,0.09,77.28
Base_Model_211,14,0.09,77.37
State_of_Usage_Unspecified,14,0.09,77.46
Model_Descriptor_LC,14,0.09,77.55
Product_Class_Description_Type_D_-_20_0_to_75_0_Horsepower,14,0.09,77.64
Base_Model_1550,14,0.09,77.73
Model_Description_624G,14,0.09,77.82
Hydraulics_Flow_Standard,14,0.09,77.91
Base_Model_350,14,0.09,78.0
Model_Description_950B,14,0.09,78.09
Model_Description_644E,14,0.09,78.18
Touchpad_Type_None_or_Unspecified,14,0.09,78.27
Model_Series_-1,14,0.09,78.36
Grouser_Tracks_Unknown,14,0.09,78.45
Base_Model_503,14,0.09,78.54
Product_Class_Description_Type_F_-_1601_0_to_1751_0_Lb_Operating_Capacity,14,0.09,78.63
Base_Model_980,13,0.09,78.72
Model_Description_580C,13,0.09,78.81
Base_Model_T600,13,0.09,78.9
Base_Model_FG75,13,0.09,78.99
Product_Class_Description_Type_A_-_170_0_to_200_0_Horsepower,13,0.09,79.08
State_of_Usage_Washington,13,0.09,79.17
Grouser_Type_Triple,13,0.09,79.26
Model_Description_310,13,0.09,79.35
Model_Description_950E,13,0.09,79.44
Model_Description_980B,13,0.09,79.53
Base_Model_275,13,0.09,79.62
Model_Description_988F,13,0.09,79.71
Base_Model_IT28,13,0.09,79.8
Base_Model_PC200,13,0.09,79.89
Secondary_Description_SUPER_L,13,0.09,79.98
Base_Model_650,13,0.09,80.07
Control_Type_None_or_Unspecified,12,0.08,80.15
Model_Description_D9G,12,0.08,80.23
Base_Model_D375,12,0.08,80.31
Secondary_Description_LC,12,0.08,80.39
Product_Class_Description_Type_C_-_40_0_to_50_0_Metric_Tons,12,0.08,80.47
Base_Model_TD8,12,0.08,80.55
Model_Description_EX120-5,12,0.08,80.63
Ripper_Yes,12,0.08,80.71
